btv1,北京卫视,beijing,北京市,北京市
btv2,北京文艺,beijing,北京市,北京市
btv3,北京科教,beijing,北京市,北京市
btv4,北京影视,beijing,北京市,北京市
btv5,北京财经,beijing,北京市,北京市
btv6,北京体育,beijing,北京市,北京市
btv7,北京生活,beijing,北京市,北京市
btv8,北京青少,beijing,北京市,北京市
btv9,北京公共,beijing,北京市,北京市
btv10,卡酷动画,beijing,北京市,北京市
zqws,重庆卫视,chongqing,重庆市,重庆市
zqxw,重庆新闻,chongqing,重庆市,重庆市
zqss,重庆时尚,chongqing,重庆市,重庆市
zqsh,重庆生活,chongqing,重庆市,重庆市
zqys,重庆影视,chongqing,重庆市,重庆市
zqyl,重庆娱乐,chongqing,重庆市,重庆市
zqkj,重庆科教,chongqing,重庆市,重庆市
zqgg,重庆公共,chongqing,重庆市,重庆市
zqds,重庆都市,chongqing,重庆市,重庆市
zqqspd,重庆青少频道,chongqing,重庆市,重庆市
fjtypd,福建体育频道,fujian,福建省,福州市
fjxwpd,福建新闻频道,fujian,福建省,福州市
fjzhpd,福建综合频道,fujian,福建省,福州市
fjggpd,福建公共频道,fujian,福建省,福州市
fjdsjpd,福建电视剧频道,fujian,福建省,福州市
fjjjshpd,福建经济生活频道,fujian,福建省,福州市
fjdssspd,福建都市时尚频道,fujian,福建省,福州市
fjjyt,福建教育台,fujian,福建省,福州市
fjsepd,福建少儿频道,fujian,福建省,福州市
fzshpd,福州生活频道,fujian,福建省,福州市
fzyspd,福州影视频道,fujian,福建省,福州市
fzzhpd,福州综合频道,fujian,福建省,福州市
xmyspd,厦门影视频道,fujian,福建省,厦门市
xmxwpd,厦门新闻频道,fujian,福建省,厦门市
xmshpd,厦门生活频道,fujian,福建省,厦门市
xmws,厦门卫视,fujian,福建省,厦门市
xmhxws,厦门海峡卫视,fujian,福建省,厦门市
lydst,龙岩电视台,fujian,福建省,龙岩市
npdst,南平电视台,fujian,福建省,南平市
ptjjshpd,莆田经济生活频道,fujian,福建省,莆田市
ptxwzhpd,莆田新闻综合频道,fujian,福建省,莆田市
zzdst,漳州一套,fujian,福建省,漳州市
zhangzhou2,漳州二套,fujian,福建省,漳州市
ndggyspd,宁德公共影视频道,fujian,福建省,宁德市
ndxwzhpd,宁德新闻综合频道,fujian,福建省,宁德市
jjqxpd,晋江侨乡频道,fujian,福建省,晋江市
jjyspd,晋江影视频道,fujian,福建省,晋江市
gdws,广东卫视,guangdong,广东省,广东省
gdggpd,广东公共频道,guangdong,广东省,广东省
gdtypd,广东体育频道,guangdong,广东省,广东省
gdzjpd,广东珠江频道,guangdong,广东省,广东省
gdzjpdhwb,广东珠江频道海外版,guangdong,广东省,广东省
nfzypd,南方综艺频道,guangdong,广东省,广东省
nfsepd,南方少儿频道,guangdong,广东省,广东省
nfyspd,南方影视频道,guangdong,广东省,广东省
nfjjpd,南方经济频道,guangdong,广东省,广东省
nfdspd,南方都市频道,guangdong,广东省,广东省
nfwspd,南方卫视,guangdong,广东省,广东省
gdxwpd,广东新闻频道,guangdong,广东省,广东省
gzjjpd,广州经济频道,guangdong,广东省,广州市
gzyypd,广州英语频道,guangdong,广东省,广州市
gzzhpd,广州综合频道,guangdong,广东省,广州市
gzyspd,广州影视频道,guangdong,广东省,广州市
gzjspd,广州竞赛频道,guangdong,广东省,广州市
gzserpd,广州少儿频道,guangdong,广东省,广州市
gzxwpd,广州新闻频道,guangdong,广东省,广州市
szws,深圳卫视,guangdong,广东省,深圳市
szggpd,深圳公共频道,guangdong,广东省,深圳市
szylpd,深圳娱乐频道,guangdong,广东省,深圳市
szdspd,深圳都市频道,guangdong,广东省,深圳市
szdsjpd,深圳电视剧频道,guangdong,广东省,深圳市
szsepd,深圳少儿频道,guangdong,广东省,深圳市
sztyjk,深圳体育健康,guangdong,广东省,深圳市
szcjsh,深圳财经生活,guangdong,广东省,深圳市
dwdypd,东莞第一频道,guangdong,广东省,东莞市
dwdepd,东莞第二频道,guangdong,广东省,东莞市
zhxwzhpd,珠海新闻综合频道,guangdong,广东省,珠海市
zhshfwpd,珠海生活服务频道,guangdong,广东省,珠海市
zjggpd,湛江公共频道,guangdong,广东省,湛江市
zjzhpd,湛江综合频道,guangdong,广东省,湛江市
zsggpd,中山公共频道,guangdong,广东省,中山市
zszhpd,中山综合频道,guangdong,广东省,中山市
gdczggpd,潮州公共频道,guangdong,广东省,潮州市
gdczxwzhpd,潮州新闻综合频道,guangdong,广东省,潮州市
fsxwzhpd,佛山新闻综合频道,guangdong,广东省,佛山市
foshanys,佛山影视频道,guangdong,广东省,佛山市
fsggpd,佛山公共频道,guangdong,广东省,佛山市
fsdssdpd,佛山顺德频道,guangdong,广东省,佛山市
fsdsnhpd,佛山南海频道,guangdong,广东省,佛山市
jmdst,江门电视台,guangdong,广东省,江门市
mmggpd,茂名公共频道,guangdong,广东省,茂名市
mmzhpd,茂名综合频道,guangdong,广东省,茂名市
stjjsh,汕头经济生活,guangdong,广东省,汕头市
stxwzhpd,汕头新闻综合频道,guangdong,广东省,汕头市
styswypd,汕头影视文艺频道,guangdong,广东省,汕头市
gdhzxwzhpd,惠州新闻综合频道,guangdong,广东省,惠州市
gdhzjjshpd,惠州经济生活频道,guangdong,广东省,惠州市
hydst,河源电视台,guangdong,广东省,河源市
mzyswy,梅州影视文艺,guangdong,广东省,梅州市
mzgg,梅州公共,guangdong,广东省,梅州市
mzsz,梅州时政,guangdong,广东省,梅州市
jyggpd,揭阳公共频道,guangdong,广东省,揭阳市
jyzhpd,揭阳综合频道,guangdong,广东省,揭阳市
hebeiws,河北卫视,hebei,河北省,河北省
hebdspd,河北都市频道,hebei,河北省,河北省
hbnmpd,河北农民频道,hebei,河北省,河北省
hebyspd,河北影视频道,hebei,河北省,河北省
hebggpd,河北公共频道,hebei,河北省,河北省
hbsekjpd,河北少儿科教频道,hebei,河北省,河北省
